Model,Best Epoch,Best Val Loss,MAE,RMSE,R2 Score
GRU,9,0.0811638374532966,10.154125,16.851858,0.8376845959044539
LSTM,11,0.0867752282586853,10.8575325,17.697573,0.820984116175491
