Epoch,LSTM_Train_Loss,LSTM_Val_Loss
1,0.14322522586609293,0.10833758644549704
2,0.10618598957121414,0.10398935316927257
3,0.1004138455881755,0.09816681654892345
4,0.09472947005888709,0.09104896618478603
5,0.09208009848561481,0.09226237767311406
6,0.09011990197627708,0.09277850016076764
7,0.08756705754718115,0.08843465802674262
8,0.08567959806075223,0.09262840553237976
9,0.08431170913348154,0.09073656559464215
10,0.08271493258937888,0.08727187236819438
11,0.08069204530659656,0.0867752282586853
12,0.07789113053328728,0.09020752492603022
13,0.07608917573436706,0.09181283966024444
14,0.07364459972699987,0.09528575367307711
15,0.0709231227132281,0.08986575275826446
16,0.06833642550663388,0.09191303581505411
17,0.06525465842648825,0.09142318128936552
18,0.06309699506313134,0.09249997052540357
19,0.06072471302246821,0.09252291636385368
20,0.05812252226526507,0.09232664541368281
